,xiaoqu,jiedaohao,type,size,direction,decoration,floor,year,style,price(万),focus-people(人数),release-time,img
0,小关北里,惠新西街,2室1厅 ,62.81, 南 西 , 精装 , 中楼层(共12层) , 1995年建 , 板塔结合,429,626,一年前,xinfang.jpg
1,国际友谊花园,国展,2室2厅 ,147.02, 西北 , 简装 , 中楼层(共18层) , 1998年建 , 塔楼,845,114,一年前,xinfang.jpg
2,西安街甲4号院,北大地,3室1厅 ,79.3, 南 北 , 简装 , 顶层(共6层) , 1989年建 , 板楼,438,108,一年前,xinfang.jpg
3,前泥洼小区,丽泽,2室1厅 ,73.31, 南 北 , 简装 , 顶层(共6层) , 2000年建 , 板楼,390,461,11个月以前,xinfang.jpg
4,青秀城,玉泉营,3室1厅 ,89.51, 南 北 , 精装 , 中楼层(共12层) , 2011年建 , 板楼,590,56,10个月以前,xinfang.jpg
5,莲香园,六里桥,2室1厅 ,80.05, 南 北 , 简装 , 低楼层(共6层) , 1999年建 , 板楼,509,53,8个月以前,xinfang.jpg
6,怡海花园恒泰园,科技园区,2室1厅 ,66.11, 南 北 , 精装 , 底层(共6层) , 1997年建 , 板楼,438,71,6个月以前,xinfang.jpg
7,金域华府一期,回龙观,1室1厅 ,62.95, 南 , 简装 , 高楼层(共28层) , 2012年建 , 板塔结合,376,102,5个月以前,xinfang.jpg
8,万年花城四期,玉泉营,2室2厅 ,92.74, 南 , 精装 , 中楼层(共24层) , 2008年建 , 板塔结合,620,4,18天以前,xinfang.jpg
9,和光里,五里店,2室1厅 ,85.98, 南 北 , 精装 , 低楼层(共16层) , 2005年建 , 板楼,429,1,15天以前,xinfang.jpg
10,万科星园,奥林匹克公园,1室1厅 ,65.45, 东南 , 精装 , 低楼层(共28层) , 2004年建 , 塔楼,490,247,一年前,xinfang.jpg
11,南平里,首都机场,1室1厅 ,38.9, 南 , 简装 , 底层(共6层) , 1980年建 , 板楼,175,383,一年前,xinfang.jpg
12,志新北里,二里庄,2室2厅 ,65, 南 北 , 简装 , 低楼层(共6层) , 1996年建 , 板楼,585,291,一年前,xinfang02.jpg
13,前泥洼小区,丽泽,3室1厅 ,78.36, 南 西 , 精装 , 低楼层(共12层) , 1994年建 , 塔楼,415,147,一年前,xinfang02.jpg
14,芳源里,旧宫,2室1厅 ,90.07, 南 北 , 精装 , 高楼层(共11层) , 2004年建 , 板楼,396,332,一年前,xinfang02.jpg
15,北京北,立水桥,2室1厅 ,81.92, 东南 , 精装 , 低楼层(共20层) , 2008年建 , 板塔结合,459,304,一年前,xinfang02.jpg
16,格调,马连道,3室1厅 ,140.31, 南 北 , 精装 , 低楼层(共24层) , 2007年建 , 板塔结合,1220,295,一年前,xinfang02.jpg
17,莲怡园二区,六里桥,2室1厅 ,102.08, 南 北 , 简装 , 中楼层(共12层) , 2006年建 , 板塔结合,530,163,一年前,xinfang02.jpg
18,华威西里,潘家园,3室1厅 ,75.27, 南 北 , 简装 , 中楼层(共6层) , 1994年建 , 板楼,418,354,11个月以前,xinfang02.jpg
19,芭蕾雨悦都北区,长阳,2室1厅 ,76.72, 南 北 , 精装 , 低楼层(共9层) , 2011年建 , 板楼,330,80,10个月以前,xinfang03.jpg
20,广渠门外大街6号院,劲松,3室1厅 ,80.05, 东 西北 , 简装 , 高楼层(共24层) , 1998年建 , 塔楼,419,185,9个月以前,xinfang03.jpg
21,上地佳园,上地,3室2厅 ,127.95, 东南 南 , 简装 , 高楼层(共15层) , 2004年建 , 板塔结合,1098,92,7个月以前,xinfang03.jpg
22,小黄庄二区,安贞,2室1厅 ,58.53, 南 北 , 简装 , 中楼层(共6层) , 1994年建 , 板楼,555,5,5天以前,xinfang03.jpg
23,幸福艺居,玉桥,2室2厅 ,92.13, 东 西 , 精装 , 中楼层(共7层) , 2002年建 , 板楼,385,92,7个月以前,xinfang03.jpg
24,广安q康馨家园,青塔,1室1厅 ,56.77, 南 , 精装 , 高楼层(共28层) , 2015年建 , 板楼,265,17,18天以前,xinfang.jpg
25,卢沟桥南里,卢沟桥,2室1厅 ,53.8, 南 北 , 简装 , 中楼层(共6层) , 1987年建 , 板楼,246,44,4个月以前,xinfang.jpg
26,五里店南里,五里店,2室1厅 ,59.14, 南 北 , 简装 , 低楼层(共6层) , 2000年建 , 板楼,245,9,29天以前,xinfang.jpg
27,大井南里,岳各庄,2室1厅 ,51.19, 南 北 , 简装 , 顶层(共6层) , 1990年建 , 板楼,265,22,17天以前,xinfang02.jpg
28,晓月新城,卢沟桥,1室1厅 ,57.95, 东北 , 简装 , 高楼层(共24层) , 2008年建 , 塔楼,258,9,13天以前,xinfang02.jpg
29,朝阳旺角,双桥,1室1厅 ,70.65, 西南 , 精装 , 高楼层(共15层) , 2006年建 , 塔楼,332,150,一年前,xinfang02.jpg
